timestamp,tear_id,linha,turno,batch_id,roll_number,fabric_type,temperatura,umidade,vibracao,velocidade_rpm,metros_produzidos,status
2025-11-05T21:09:49,POWERLOOM-01,Linha-A,Evening,800002,101,cotton,27.1,61.0,1.06,1314,44,operando
2025-11-05T21:09:49,POWERLOOM-02,Linha-A,Evening,800005,102,cotton,24.6,68.9,1.26,1301,51,operando
2025-11-05T21:09:49,POWERLOOM-03,Linha-B,Evening,800006,103,polyester,32.5,72.5,2.44,1363,53,operando
2025-11-05T21:09:49,POWERLOOM-04,Linha-B,Evening,800008,104,polyester,33.7,65.5,1.77,1378,47,operando
2025-11-05T21:09:49,POWERLOOM-05,Linha-C,Evening,800010,105,silk,21.1,71.7,1.08,1200,47,operando
2025-11-05T21:09:49,POWERLOOM-06,Linha-C,Evening,800011,106,linen,24.3,55.9,1.72,1295,47,operando
2025-11-05T21:10:19,POWERLOOM-01,Linha-A,Evening,800002,101,cotton,29.5,59.6,0.99,1247,46,operando
2025-11-05T21:10:19,POWERLOOM-02,Linha-A,Evening,800005,102,cotton,27.5,64.7,1.55,1326,43,operando
2025-11-05T21:10:19,POWERLOOM-03,Linha-B,Evening,800006,103,polyester,39.5,70.1,2.46,1314,55,alerta
2025-11-05T21:10:19,POWERLOOM-04,Linha-B,Evening,800008,104,polyester,33.5,66.2,1.63,1371,44,operando
2025-11-05T21:10:19,POWERLOOM-05,Linha-C,Evening,800010,105,silk,26.1,69.0,0.86,1186,45,operando
2025-11-05T21:10:19,POWERLOOM-06,Linha-C,Evening,800011,106,linen,27.8,59.8,1.69,1286,46,operando
2025-11-05T21:10:49,POWERLOOM-01,Linha-A,Evening,800002,101,cotton,26.7,60.8,1.19,1345,45,operando
2025-11-05T21:10:49,POWERLOOM-02,Linha-A,Evening,800005,102,cotton,25.0,63.5,1.41,1352,47,operando
2025-11-05T21:10:49,POWERLOOM-03,Linha-B,Evening,800006,103,polyester,32.8,67.0,2.44,1397,49,operando
2025-11-05T21:10:49,POWERLOOM-04,Linha-B,Evening,800008,104,polyester,28.5,72.7,2.03,1205,43,operando
2025-11-05T21:10:49,POWERLOOM-05,Linha-C,Evening,800010,105,silk,21.5,74.0,0.86,1232,39,operando
2025-11-05T21:10:49,POWERLOOM-06,Linha-C,Evening,800011,106,linen,26.9,63.3,1.63,1270,48,operando
